Training type,Source,Resource,Link,Research Phase,Broad skill,Skill bite,Red skill,Tool,Status,Notes
Census boundary data,Video,Geographical Data Visualisation of UK Census Data ,https://www.youtube.com/watch?v=gwK5dbe0xvo&ab_channel=UKDATASERVICE,Tools software and coding skills,Introduction to software tools and their key features,Understand how to use GIS software,,ARCGIS,,
Census boundary data,Video,Geographical Data Visualisation of UK Census Data ,https://www.youtube.com/watch?v=gwK5dbe0xvo&ab_channel=UKDATASERVICE,Tools software and coding skills,Introduction to software tools and their key features,Understand how to use GIS software,,QGIS,,
Census boundary data,Video,Geographical Data Visualisation of UK Census Data ,https://www.youtube.com/watch?v=gwK5dbe0xvo&ab_channel=UKDATASERVICE,Explore data,Visualisations,How to present and report maps,,QGIS,,
Census boundary data,Video,Geographical Data Visualisation of UK Census Data ,https://www.youtube.com/watch?v=gwK5dbe0xvo&ab_channel=UKDATASERVICE,Explore data,Visualisations,How to create visualisations of census data,,QGIS,,
Census boundary data,Video,Geographical Data Visualisation of UK Census Data ,https://www.youtube.com/watch?v=gwK5dbe0xvo&ab_channel=UKDATASERVICE,Share findings,Communicate findings,Visual presentation skills,,QGIS,,
Census boundary data,Video,Geographical Data Visualisation of UK Census Data ,https://www.youtube.com/watch?v=gwK5dbe0xvo&ab_channel=UKDATASERVICE,Share findings,Communicate findings,Visual presentation skills,,Tableau,,
Census boundary data,Video,Geographical Data Visualisation of UK Census Data ,https://www.youtube.com/watch?v=gwK5dbe0xvo&ab_channel=UKDATASERVICE,Share findings,Communicate findings,Visual presentation skills,,Kepler,,
Census boundary data,Video,Geographical Data Visualisation of UK Census Data ,https://www.youtube.com/watch?v=gwK5dbe0xvo&ab_channel=UKDATASERVICE,Share findings,Communicate findings,Presenting graphs and charts,,QGIS,,
Census boundary data,Video,Geographical Data Visualisation of UK Census Data ,https://www.youtube.com/watch?v=gwK5dbe0xvo&ab_channel=UKDATASERVICE,Share findings,Communicate findings,Presenting graphs and charts,,Tableau,,
Census boundary data,Video,Geographical Data Visualisation of UK Census Data ,https://www.youtube.com/watch?v=gwK5dbe0xvo&ab_channel=UKDATASERVICE,Share findings,Communicate findings,Presenting graphs and charts,,Kepler,,
Census boundary data,Video,Using open UK Data Service Census Support datasets in open source GIS software ,https://www.youtube.com/watch?v=C7tSuGO67eg&ab_channel=UKDATASERVICE,Tools software and coding skills,Introduction to software tools and their key features,Understand how to use GIS software,,ARCGIS,,
Census boundary data,Video,Using open UK Data Service Census Support datasets in open source GIS software ,https://www.youtube.com/watch?v=C7tSuGO67eg&ab_channel=UKDATASERVICE,Tools software and coding skills,Introduction to software tools and their key features,Understand how to use GIS software,,QGIS,,
Census boundary data,Video,Using open UK Data Service Census Support datasets in open source GIS software ,https://www.youtube.com/watch?v=C7tSuGO67eg&ab_channel=UKDATASERVICE,Get data,Downloading UKDS data,How to download data from InFuse,,InFuse,,
Census boundary data,Video,Using open UK Data Service Census Support datasets in open source GIS software ,https://www.youtube.com/watch?v=C7tSuGO67eg&ab_channel=UKDATASERVICE,Get data,Downloading UKDS data,Where to find census data,,InFuse,,
Census boundary data,Video,Using open UK Data Service Census Support datasets in open source GIS software ,https://www.youtube.com/watch?v=C7tSuGO67eg&ab_channel=UKDATASERVICE,Explore data,Visualisations,How to create visualisations of census data,,QGIS,,
Census boundary data,Video,Adding real world GIS and census data to agent-based modelling for social scientists,https://www.youtube.com/watch?v=7CAzJjYYtlE&ab_channel=UKDATASERVICE,Get data,Downloading UKDS data,How to download data from InFuse,,InFuse,,
Census boundary data,Video,Adding real world GIS and census data to agent-based modelling for social scientists,https://www.youtube.com/watch?v=7CAzJjYYtlE&ab_channel=UKDATASERVICE,Get data,Downloading UKDS data,Where to find census data,,,,
Census boundary data,Video,Adding real world GIS and census data to agent-based modelling for social scientists,https://www.youtube.com/watch?v=7CAzJjYYtlE&ab_channel=UKDATASERVICE,Explore data,"Understand ways in which different types of census data can be used together	",,,NetLogo,,
Census boundary data,Video,Adding real world GIS and census data to agent-based modelling for social scientists,https://www.youtube.com/watch?v=7CAzJjYYtlE&ab_channel=UKDATASERVICE,Manage data,"Good practice guidance on opening, manipulating and saving data",,,,,
Census boundary data,Video,Adding real world GIS and census data to agent-based modelling for social scientists,https://www.youtube.com/watch?v=7CAzJjYYtlE&ab_channel=UKDATASERVICE,Explore data,Visualisations,How to present and report maps,,NetLogo,,
Census boundary data,Video,Adding real world GIS and census data to agent-based modelling for social scientists,https://www.youtube.com/watch?v=7CAzJjYYtlE&ab_channel=UKDATASERVICE,Explore data,Visualisations,How to create visualisations of census data,,NetLogo,,
Census boundary data,PDF,Mapping 2011 Census Microdata using R ,https://ukdataservice.ac.uk/app/uploads/mapping-2011-census-microdata-using-r.pdf,Tools software and coding skills,Introduction to software tools and their key features,Understand how to use R to map data,Introduction to software tools and their key features,R,,
Census boundary data,PDF,Mapping 2011 Census Microdata using R ,https://ukdataservice.ac.uk/app/uploads/mapping-2011-census-microdata-using-r.pdf,Tools software and coding skills,Introduction to software tools and their key features,Understand how to read in boundary data,,R,,
Census boundary data,PDF,Mapping 2011 Census Microdata using R ,https://ukdataservice.ac.uk/app/uploads/mapping-2011-census-microdata-using-r.pdf,Prepare data,Manipulate data for analysis,Derive new variables,,R,,
Census boundary data,PDF,Mapping 2011 Census Microdata using R ,https://ukdataservice.ac.uk/app/uploads/mapping-2011-census-microdata-using-r.pdf,Prepare data,Manipulate data for analysis,Group data using dplyr,,R,,
Census boundary data,PDF,Mapping 2011 Census Microdata using R ,https://ukdataservice.ac.uk/app/uploads/mapping-2011-census-microdata-using-r.pdf,Tools software and coding skills,Introduction to software tools and their key features,How to use the dplyr package,,R,,
Census boundary data,PDF,Mapping 2011 Census Microdata using R ,https://ukdataservice.ac.uk/app/uploads/mapping-2011-census-microdata-using-r.pdf,Tools software and coding skills,Introduction to software tools and their key features,How to use the tmap package,,R,,
Census boundary data,PDF,Using open UK Data Service Census Support datasets in open source GIS software,https://dam.ukdataservice.ac.uk/media/604780/opengis270417.pdf,Get data,Downloading UKDS data,How to download data from InFuse,,InFuse,,
Census boundary data,PDF,Using open UK Data Service Census Support datasets in open source GIS software,https://dam.ukdataservice.ac.uk/media/604780/opengis270417.pdf,Get data,Downloading UKDS data,Where to find census data,,,,
Census boundary data,PDF,Using open UK Data Service Census Support datasets in open source GIS software,https://dam.ukdataservice.ac.uk/media/604780/opengis270417.pdf,Tools software and coding skills,Introduction to software tools and their key features,Understand how to use GIS software,,ARCGIS,,
Census boundary data,PDF,Using open UK Data Service Census Support datasets in open source GIS software,https://dam.ukdataservice.ac.uk/media/604780/opengis270417.pdf,Tools software and coding skills,Introduction to software tools and their key features,Understand how to use GIS software,,QGIS,,
Census boundary data,PDF,Using open UK Data Service Census Support datasets in open source GIS software,https://dam.ukdataservice.ac.uk/media/604780/opengis270417.pdf,Explore data,Visualisations,How to present and report maps,,QGIS,,
Census boundary data,PDF,Using open UK Data Service Census Support datasets in open source GIS software,https://dam.ukdataservice.ac.uk/media/604780/opengis270417.pdf,Explore data,Visualisations,How to create visualisations of census data,,QGIS,,
Census boundary data,PDF,Creating maps and other geographical visualizations from census data,https://dam.ukdataservice.ac.uk/media/211682/3_visualizing_census_data.pdf,Explore data,Understand different types of maps,Choropleth map,,,,
Census boundary data,PDF,Creating maps and other geographical visualizations from census data,https://dam.ukdataservice.ac.uk/media/211682/3_visualizing_census_data.pdf,Explore data,Understand different types of maps,Cartogram,,,,
Census boundary data,PDF,Creating maps and other geographical visualizations from census data,https://dam.ukdataservice.ac.uk/media/211682/3_visualizing_census_data.pdf,Tools software and coding skills,Introduction to software tools and their key features,Understand how to use Thematic Mapper,,Thematic Mapper,,
Census boundary data,PDF,Creating maps and other geographical visualizations from census data,https://dam.ukdataservice.ac.uk/media/211682/3_visualizing_census_data.pdf,Tools software and coding skills,Introduction to software tools and their key features,Understand how to use Cartogrammar,,Cartogrammar,,
